theta,U,V,name,n,s,succes_rate
0.03637439682569003,1,1,beta_1_1,39,1,0.02564102564102564
0.09021101297170472,2,1,beta_2_1,17,1,0.058823529411764705
0.1297462703239472,3,1,beta_3_1,33,4,0.12121212121212122
0.17893968076747307,4,1,beta_4_1,45,5,0.1111111111111111
0.083505939615407,5,1,beta_5_1,12,0,0
0.281125143505615,6,1,beta_6_1,21,8,0.38095238095238093
0.1764243475391727,7,1,beta_7_1,92,17,0.18478260869565216
0.34395645165596855,8,1,beta_8_1,72,26,0.3611111111111111
0.03627225501975212,1,2,beta_1_2,43,1,0.023255813953488372
0.08932753786749684,2,2,beta_2_2,31,2,0.06451612903225806
0.14054353574090914,3,2,beta_3_2,33,5,0.15151515151515152
0.2148474479987802,4,2,beta_4_2,47,9,0.19148936170212766
0.08913232582509649,5,2,beta_5_2,28,2,0.07142857142857142
0.2636578148324554,6,2,beta_6_2,60,17,0.2833333333333333
0.2104460012958627,7,2,beta_7_2,63,16,0.25396825396825395
0.2640003141093337,8,2,beta_8_2,169,42,0.2485207100591716
0.04283721846868872,1,3,beta_1_3,103,6,0.05825242718446602
0.10711252632497825,2,3,beta_2_3,105,13,0.12380952380952381
0.1299981423250589,3,3,beta_3_3,54,7,0.12962962962962962
0.20384774276429496,4,3,beta_4_3,95,18,0.18947368421052632
0.09130052380362412,5,3,beta_5_3,126,12,0.09523809523809523
0.22297855439222738,6,3,beta_6_3,244,54,0.22131147540983606
0.1274431312383761,7,3,beta_7_3,107,11,0.102803738317757
0.2963005397489914,8,3,beta_8_3,316,93,0.29430379746835444
0.06575573797894035,1,4,beta_1_4,15,1,0.06666666666666667
0.16293641863204936,2,4,beta_2_4,10,2,0.2
0.1736262684634373,3,4,beta_3_4,20,1,0.05
0.47801863252127325,4,4,beta_4_4,46,27,0.5869565217391305
0.14238416664684853,5,4,beta_5_4,12,1,0.08333333333333333
0.3373619051891003,6,4,beta_6_4,23,7,0.30434782608695654
0.21354596699612077,7,4,beta_7_4,53,9,0.16981132075471697
0.45907825973873156,8,4,beta_8_4,228,105,0.4605263157894737
0.14322194650741377,1,5,beta_1_5,27,3,0.1111111111111111
0.32562581112236166,2,5,beta_2_5,31,10,0.3225806451612903
0.45761207039041124,3,5,beta_3_5,12,7,0.5833333333333334
0.6085007699205213,4,5,beta_4_5,28,18,0.6428571428571429
0.3649178943729116,5,5,beta_5_5,66,26,0.3939393939393939
0.5405762874985357,6,5,beta_6_5,89,46,0.5168539325842697
0.39515588455027906,7,5,beta_7_5,26,7,0.2692307692307692
0.7343126705512076,8,5,beta_8_5,88,67,0.7613636363636364
0.010800440344374237,1,6,beta_1_6,19,0,0
0.02889251585014316,2,6,beta_2_6,7,0,0
0.041372219800292216,3,6,beta_3_6,8,0,0
0.075684699346606,4,6,beta_4_6,7,0,0
0.027382816132128795,5,6,beta_5_6,11,0,0
0.07633115068280967,6,6,beta_6_6,9,0,0
0.05102203210796756,7,6,beta_7_6,11,0,0
0.11525156532088912,8,6,beta_8_6,9,1,0.1111111111111111
0.07971974748948304,1,7,beta_1_7,37,3,0.08108108108108109
0.17559587446054445,2,7,beta_2_7,55,9,0.16363636363636364
0.3337952319305592,3,7,beta_3_7,31,14,0.45161290322580644
0.42927893068399786,4,7,beta_4_7,53,24,0.4528301886792453
0.20660411420777175,5,7,beta_5_7,74,17,0.22972972972972974
0.29617305643502345,6,7,beta_6_7,147,39,0.2653061224489796
0.3180166439590647,7,7,beta_7_7,42,14,0.3333333333333333
0.4519997332776495,8,7,beta_8_7,155,68,0.43870967741935485
0.0786874979772498,1,8,beta_1_8,25,3,0.12
0.1951942335157948,2,8,beta_2_8,27,7,0.25925925925925924
0.209545323142529,3,8,beta_3_8,15,2,0.13333333333333333
0.3447427584211297,4,8,beta_4_8,29,9,0.3103448275862069
0.15143846317345044,5,8,beta_5_8,44,6,0.13636363636363635
0.3757481250287191,6,8,beta_6_8,72,27,0.375
0.2672137845868077,7,8,beta_7_8,39,10,0.2564102564102564
0.47127521620766916,8,8,beta_8_8,102,48,0.47058823529411764
0.20338281312767947,1,9,beta_1_9,81,16,0.19753086419753085
0.4268061848514201,2,9,beta_2_9,107,46,0.42990654205607476
0.5213450762831817,3,9,beta_3_9,40,21,0.525
0.681140127560366,4,9,beta_4_9,72,49,0.6805555555555556
0.3068443391808793,5,9,beta_5_9,118,32,0.2711864406779661
0.7679508092794021,6,9,beta_6_9,302,236,0.7814569536423841
0.6020856511305098,7,9,beta_7_9,65,40,0.6153846153846154
0.7792245637102155,8,9,beta_8_9,189,148,0.783068783068783
0.09934095894599985,1,10,beta_1_10,66,5,0.07575757575757576
0.3137014913792478,2,10,beta_2_10,62,22,0.3548387096774194
0.34433126072498393,3,10,beta_3_10,20,7,0.35
0.5461791184862574,4,10,beta_4_10,43,25,0.5813953488372093
0.19398709300273712,5,10,beta_5_10,88,14,0.1590909090909091
0.44800816409936894,6,10,beta_6_10,166,72,0.43373493975903615
0.46577936695824296,7,10,beta_7_10,44,23,0.5227272727272727
0.627317674607358,8,10,beta_8_10,144,91,0.6319444444444444
0.0986197747094525,1,11,beta_1_11,33,4,0.12121212121212122
0.2098347560636811,2,11,beta_2_11,20,4,0.2
0.2349063355061208,3,11,beta_3_11,15,1,0.06666666666666667
0.3776447607084962,4,11,beta_4_11,9,1,0.1111111111111111
0.2655502020307288,5,11,beta_5_11,15,7,0.4666666666666667
0.49149363927202405,6,11,beta_6_11,21,12,0.5714285714285714
0.37524233804397383,7,11,beta_7_11,28,12,0.42857142857142855
0.49487428813897455,8,11,beta_8_11,28,12,0.42857142857142855
0.18657640761339875,1,12,beta_1_12,48,10,0.20833333333333334
0.29452527778644,2,12,beta_2_12,29,6,0.20689655172413793
0.41182838245886,3,12,beta_3_12,13,4,0.3076923076923077
0.4873112649281562,4,12,beta_4_12,18,4,0.2222222222222222
0.5137597766521169,5,12,beta_5_12,61,38,0.6229508196721312
0.6716845521625481,6,12,beta_6_12,49,35,0.7142857142857143
0.5823908445672321,7,12,beta_7_12,40,26,0.65
0.6385498143942289,8,12,beta_8_12,58,34,0.5862068965517241
0.09732667151783815,1,13,beta_1_13,55,3,0.05454545454545454
0.22449080030835575,2,13,beta_2_13,54,10,0.18518518518518517
0.39482169260158617,3,13,beta_3_13,26,12,0.46153846153846156
0.5822988480365715,4,13,beta_4_13,42,27,0.6428571428571429
0.24946541731698557,5,13,beta_5_13,90,22,0.24444444444444444
0.4758289693784728,6,13,beta_6_13,132,61,0.4621212121212121
0.42201033511216973,7,13,beta_7_13,44,19,0.4318181818181818
0.6729691579584586,8,13,beta_8_13,138,95,0.6884057971014492
0.12247061714241134,1,14,beta_1_14,115,15,0.13043478260869565
0.24484934084533858,2,14,beta_2_14,153,37,0.24183006535947713
0.39549342741142385,3,14,beta_3_14,62,27,0.43548387096774194
0.5771099311911961,4,14,beta_4_14,97,59,0.6082474226804123
0.18128212873474236,5,14,beta_5_14,208,34,0.16346153846153846
0.3968158693107739,6,14,beta_6_14,275,105,0.38181818181818183
0.42540251274062385,7,14,beta_7_14,91,40,0.43956043956043955
0.6316387682097876,8,14,beta_8_14,318,202,0.6352201257861635
0.10604667464170847,1,15,beta_1_15,61,6,0.09836065573770492
0.22189989965963103,2,15,beta_2_15,52,10,0.19230769230769232
0.30897844755151793,3,15,beta_3_15,29,8,0.27586206896551724
0.5309934166923566,4,15,beta_4_15,50,28,0.56
0.24632597037349527,5,15,beta_5_15,76,19,0.25
0.552148948149428,6,15,beta_6_15,145,82,0.5655172413793104
0.36690521339025844,7,15,beta_7_15,54,19,0.35185185185185186
0.606704275140858,8,15,beta_8_15,181,110,0.6077348066298343
0.16307140829639222,1,16,beta_1_16,62,10,0.16129032258064516
0.3783760744315064,2,16,beta_2_16,81,32,0.3950617283950617
